!!SBtab	SBtabVersion='0.9.1' TableID='Reaction' TableType='Reaction' TableName='transformed standard Gibbs free energies of reaction, dG0_prime' QuantityType='standard Gibbs free energy of reaction' Unit='kJ/mol' pH='7.0' Temperature='298.15' TemperatureUnit='kelvin' 'IonicStrength='0.1' IoniStrengthUnit='mM' UniqueKeys='False'			
!Identifiers:kegg.reaction	!Mean	   !Std	!Comment
R05300	-6.5	11.6	
R05301			uncertainty is too high
R05302			uncertainty is too high
R05303			uncertainty is too high
R05304			uncertainty is too high
R05305	20.6	31.3	
R05307	-33.2	42.1	
R05308	-83.2	23.7	
R05309	-35.7	20.1	
R05310			uncertainty is too high
R05311	63.2	32.3	
R05312	-68.7	33.6	
R05313	-25.3	19.2	
R05314	-35.7	20.1	
R05315	6.4	29.1	
R05316	4.1	32.5	
R05317	-87.4	12.8	
R05318			uncertainty is too high
R05320			uncertainty is too high
R05321	-396.8	39.1	
R05322	-396.8	39.1	
R05323			uncertainty is too high
R05324	-60.6	13.7	
R05325			uncertainty is too high
R05326	8.6	11.7	
R05328	-0.8	5.2	
R05329			uncertainty is too high
R05330	26.7	41.4	
R05331	-105.5	40.7	
R05332	-18.6	7.7	
R05333			uncertainty is too high
R05334	-93.1	17.8	
R05335	5.8	15.6	
R05336	-22.3	3.7	
R05337	-0.1	31.2	
R05338	-26.4	3.3	
R05339	-14.1	3.3	
R05341	-207.7	85.1	
R05344	-469.5	9.6	
R05345	-228.1	87.0	
R05346			uncertainty is too high
R05347	23.1	11.1	
R05348	23.1	11.1	
R05349	6.3	49.9	
R05350	7.3	49.9	
R05351	-40.7	7.4	
R05352	20.6	10.4	
R05353	-38.2	9.6	
R05354	-25.3	20.6	
R05355			uncertainty is too high
R05356	7.5	10.2	
R05357	-58.0	29.4	
R05358			uncertainty is too high
R05359	-56.5	14.5	
R05360	-47.5	18.3	
R05361	-59.4	16.8	
R05362	-52.1	13.0	
R05363			uncertainty is too high
R05364	-52.1	11.0	
R05365	-50.0	18.2	
R05366	-64.5	11.3	
R05367			uncertainty is too high
R05368			uncertainty is too high
R05369			uncertainty is too high
R05370			uncertainty is too high
R05371			uncertainty is too high
R05372			uncertainty is too high
R05373	-28.1	7.0	
R05374	-18.7	10.0	
R05375	-9.8	12.1	
R05376	19.9	15.4	
R05377	-14.7	14.3	
R05378	-2.1	8.7	
R05379			uncertainty is too high
R05380			uncertainty is too high
R05381	16.5	8.9	
R05382	-37.7	16.6	
R05383			uncertainty is too high
R05384			uncertainty is too high
R05385			uncertainty is too high
R05386			uncertainty is too high
R05387			uncertainty is too high
R05388			uncertainty is too high
R05389	0.0	9.1	
R05390			uncertainty is too high
R05391			uncertainty is too high
R05392			uncertainty is too high
R05393			uncertainty is too high
R05394			uncertainty is too high
R05395			uncertainty is too high
R05396			uncertainty is too high
R05397			uncertainty is too high
R05398	-5.1	16.2	
R05399			uncertainty is too high
R05400			uncertainty is too high
R05401			uncertainty is too high
R05402			uncertainty is too high
R05403			uncertainty is too high
R05404	-254.6	14.9	
R05405	-249.8	12.1	
R05406			uncertainty is too high
R05407			uncertainty is too high
R05408			uncertainty is too high
R05409			uncertainty is too high
R05410	-267.3	48.9	
R05411	-259.1	24.5	
R05412	-341.0	47.0	
R05413			uncertainty is too high
R05414	-431.0	26.3	
R05415	-256.6	24.4	
R05416	-254.6	12.1	
R05417	-399.5	17.4	
R05418			uncertainty is too high
R05419	-600.0	13.2	
R05420			uncertainty is too high
R05421			uncertainty is too high
R05422	-408.5	50.4	
R05423	-329.0	57.9	
R05424	0.5	11.0	
R05425	-397.4	11.9	
R05426	-439.3	12.2	
R05427	-330.6	11.9	
R05428	-400.2	16.4	
R05429			uncertainty is too high
R05430	-387.7	30.3	
R05431	-485.3	38.7	
R05432	-389.7	30.3	
R05433	-487.3	38.7	
R05434			uncertainty is too high
R05435	-393.2	58.1	
R05436	-395.1	58.1	
R05437	-387.7	30.3	
R05438	-389.7	30.3	
R05439			uncertainty is too high
R05440	-399.5	15.9	
R05441	-443.4	14.3	
R05442	-395.3	12.8	
R05443	-395.3	12.8	
R05444	-436.3	11.0	
R05445			uncertainty is too high
R05446			uncertainty is too high
R05447			uncertainty is too high
R05448			uncertainty is too high
R05449			uncertainty is too high
R05450	-442.4	14.3	
R05451	15.9	7.0	
R05452	-9.5	11.1	
R05453	-30.7	10.8	
R05454			uncertainty is too high
R05455			uncertainty is too high
R05456			uncertainty is too high
R05459			uncertainty is too high
R05462			uncertainty is too high
R05463	-442.8	94.9	
R05465	-120.6	11.7	
R05466	-449.2	34.2	
R05467	2.7	25.1	
R05468	-595.8	16.4	
R05469	-523.6	30.6	
R05470	-262.9	33.6	
R05471	-24.0	33.6	
R05472	-23.5	11.6	
R05473	-621.8	10.5	
R05474	11.9	9.6	
R05475	-425.3	20.6	
R05476			uncertainty is too high
R05477			uncertainty is too high
R05478	-4.0	15.4	
R05479	163.3	14.6	
R05480	266.0	10.2	
R05481	142.1	14.4	
R05482	-181.4	18.6	
R05483			uncertainty is too high
R05484			uncertainty is too high
R05485			uncertainty is too high
R05486			uncertainty is too high
R05487	-443.9	7.9	
R05488	-373.2	15.0	
R05489			uncertainty is too high
R05490			uncertainty is too high
R05491			uncertainty is too high
R05492			uncertainty is too high
R05493	-319.0	13.3	
R05495	-1.6	10.4	
R05496			uncertainty is too high
R05497			uncertainty is too high
R05498			uncertainty is too high
R05499			uncertainty is too high
R05500			uncertainty is too high
R05501			uncertainty is too high
R05502			uncertainty is too high
R05503			uncertainty is too high
R05504			uncertainty is too high
R05505			uncertainty is too high
R05506	-32.6	33.2	
R05507	-0.1	6.4	
R05508	3.4	30.0	
R05509	-5.0	6.6	
R05510	30.5	11.9	
R05511			uncertainty is too high
R05512			uncertainty is too high
R05515	-23.0	54.0	
R05516	0.6	21.3	
R05518	-57.4	6.1	
R05519			uncertainty is too high
R05520			uncertainty is too high
R05521	-345.5	65.5	
R05522	-345.5	63.9	
R05526	-7.3	26.6	
R05527	0.0	25.2	
R05530	14.4	51.1	
R05531	-17.4	69.8	
R05532			uncertainty is too high
R05533			uncertainty is too high
R05534			uncertainty is too high
R05535			uncertainty is too high
R05536			uncertainty is too high
R05537	-316.1	12.1	
R05538	10.7	38.9	
R05539	567.5	14.7	
R05540	555.3	40.4	
R05541	-424.8	55.2	
R05542	-424.8	55.2	
R05543	-113.4	60.1	
R05544	91.4	40.7	
R05545	-118.8	44.5	
R05546	72.5	40.2	
R05547	29.5	43.8	
R05548			uncertainty is too high
R05549	12.2	9.9	
R05551	12.3	7.2	
R05552	-4.8	5.8	
R05553	-59.1	14.3	
R05554	-35.0	10.3	
R05555	-72.9	29.7	
R05558			uncertainty is too high
R05559			uncertainty is too high
R05560			uncertainty is too high
R05561			uncertainty is too high
R05562	-81.7	14.9	
R05563	-32.7	19.7	
R05564			uncertainty is too high
R05565			uncertainty is too high
R05566	-13.7	120.8	
R05567			uncertainty is too high
R05568			uncertainty is too high
R05569			uncertainty is too high
R05570			uncertainty is too high
R05571	14.2	5.0	
R05572			uncertainty is too high
R05573			uncertainty is too high
R05574			uncertainty is too high
R05575	20.6	33.6	
R05576	9.6	30.2	
R05577			uncertainty is too high
R05578			uncertainty is too high
R05579			uncertainty is too high
R05580			uncertainty is too high
R05581	21.9	5.2	
R05582	-59.7	44.7	
R05583			uncertainty is too high
R05584			uncertainty is too high
R05585	24.8	32.3	
R05586	-32.6	31.2	
R05587	-26.9	33.5	
R05588	-3.2	11.3	
R05590	-10.9	10.3	
R05591			uncertainty is too high
R05592	44.0	35.6	
R05593	55.1	34.7	
R05594	73.7	33.7	
R05595	5.7	4.7	
R05596			uncertainty is too high
R05597	0.0	5.8	
R05598	-40.5	10.3	
R05599	3.3	34.3	
R05600	84.7	41.5	
R05601	-0.6	32.0	
R05602	100.2	10.4	
R05603			uncertainty is too high
R05604	12.5	7.2	
R05605	15.5	4.1	
R05606	-37.5	7.3	
R05607	15.7	3.4	
R05608	-42.0	6.5	
R05609	38.1	11.5	
R05610	-15.5	4.3	
R05611	72.9	75.8	
R05612	-72.9	58.3	
R05613	-72.9	48.7	
R05614			uncertainty is too high
R05615	-75.9	78.3	
R05616	-75.9	59.3	
R05617	-2767.0	58.3	
R05618			uncertainty is too high
R05619			uncertainty is too high
R05620	-9.5	31.5	
R05621	-347.0	20.5	
R05622	-348.0	20.5	
R05623	-213.1	8.3	
R05625			uncertainty is too high
R05626	-12.6	104.2	
R05627	-26.8	104.8	
R05629	2.6	135.1	
R05630	2.6	134.9	
R05631			uncertainty is too high
R05632	-453.5	29.3	
R05633	-4.7	5.8	
R05634	-5.2	20.3	
R05635			uncertainty is too high
R05636	-29.1	6.7	
R05637			uncertainty is too high
R05639			uncertainty is too high
R05640			uncertainty is too high
R05641			uncertainty is too high
R05642	74.6	33.4	
R05643	-38.2	10.9	
R05644	-10.4	8.4	
R05645	1.4	4.5	
R05646	-9.3	6.2	
R05647	-9.4	6.5	
R05648	9.9	25.9	
R05649	-36.6	25.7	
R05650	-371.4	46.2	
R05651			uncertainty is too high
R05652			uncertainty is too high
R05653	-394.9	61.3	
R05654	-368.9	62.1	
R05655	-442.4	45.0	
R05656	-73.5	63.3	
R05657			uncertainty is too high
R05658	12.6	63.7	
R05659	-45.4	30.7	
R05661	-14.6	4.4	
R05662	-13.7	130.8	
R05663	-36.0	11.1	
R05664	-36.0	11.1	
R05665	-400.2	16.4	
R05666	-204.2	9.3	
R05668	5.5	7.9	
R05669	-197.2	12.3	
R05670	288.2	10.8	
R05671	106.6	15.1	
R05672	-22.8	19.1	
R05673			uncertainty is too high
R05674			uncertainty is too high
R05675	884.4	34.3	
R05676			uncertainty is too high
R05677	-9.5	36.3	
R05678	20.6	12.3	
R05679	18.8	2.9	
R05680	19.8	2.9	
R05681	17.9	6.0	
R05682	7.3	5.7	
R05683	20.6	5.3	
R05684	21.6	5.4	
R05685	23.1	6.2	
R05686	24.1	6.2	
R05687	19.6	22.0	
R05688	23.1	5.4	
R05689			uncertainty is too high
R05690			uncertainty is too high
R05691			uncertainty is too high
R05692			uncertainty is too high
R05693			uncertainty is too high
R05694			uncertainty is too high
R05695	-286.7	17.5	
R05696	-116.3	10.2	
R05697	-170.3	13.4	
R05698	-120.2	8.8	
R05699	-36.4	17.3	
R05700	-30.7	2.7	
R05701	-29.7	2.8	
R05702	60.2	15.9	
R05703			uncertainty is too high
R05704			uncertainty is too high
R05705	21.7	5.9	
R05706	22.6	5.9	
R05707	-10.6	33.8	
R05708			uncertainty is too high
R05711			uncertainty is too high
R05712			uncertainty is too high
R05713			uncertainty is too high
R05714	18.1	6.0	
R05715	17.9	54.1	
R05716	18.9	54.1	
R05717	26.9	7.6	
R05718			uncertainty is too high
R05719	-324.9	18.9	
R05720	-365.1	16.1	
R05721			uncertainty is too high
R05722	-449.1	45.0	
R05723	-506.0	54.9	
R05724	-488.5	20.1	
R05725	-489.5	20.1	
R05727			uncertainty is too high
R05728			uncertainty is too high
R05729	-419.4	9.7	
R05730	-419.4	9.7	
R05731			uncertainty is too high
R05732			uncertainty is too high
R05733			uncertainty is too high
R05734			uncertainty is too high
R05735	-33.0	8.2	
R05736			uncertainty is too high
R05737			uncertainty is too high
R05738			uncertainty is too high
R05739			uncertainty is too high
R05740			uncertainty is too high
R05741			uncertainty is too high
R05742			uncertainty is too high
R05743			uncertainty is too high
R05744			uncertainty is too high
R05745			uncertainty is too high
R05746			uncertainty is too high
R05747			uncertainty is too high
R05748			uncertainty is too high
R05749	-52.7	35.7	
R05750	-52.7	35.7	
R05751			uncertainty is too high
R05752			uncertainty is too high
R05753			uncertainty is too high
R05754			uncertainty is too high
R05755			uncertainty is too high
R05756			uncertainty is too high
R05757			uncertainty is too high
R05758	-26.6	4.3	
R05759			uncertainty is too high
R05760			uncertainty is too high
R05761			uncertainty is too high
R05762			uncertainty is too high
R05763			uncertainty is too high
R05764			uncertainty is too high
R05765			uncertainty is too high
R05766			uncertainty is too high
R05767	6.9	3.4	
R05768	-13.6	8.1	
R05769	-60.6	16.2	
R05771			uncertainty is too high
R05772	-0.6	36.5	
R05773	-0.6	35.4	
R05774			uncertainty is too high
R05775			uncertainty is too high
R05776			uncertainty is too high
R05777			uncertainty is too high
R05778	-503.2	12.2	
R05779	-28.7	41.7	
R05780			uncertainty is too high
R05781			uncertainty is too high
R05782			uncertainty is too high
R05783	-12.3	10.4	
R05784			uncertainty is too high
R05788			uncertainty is too high
R05789			uncertainty is too high
R05790	-11.8	6.6	
R05791	-14.2	7.0	
R05792			uncertainty is too high
R05793			uncertainty is too high
R05794			uncertainty is too high
R05795			uncertainty is too high
R05796			uncertainty is too high
R05797			uncertainty is too high
R05798			uncertainty is too high
R05799	2.3	41.7	
R05800	-19.2	33.8	
R05801	-24.1	36.1	
R05802			uncertainty is too high
R05803			uncertainty is too high
R05804	-14.7	0.9	
R05805	-12.4	1.4	
R05806			uncertainty is too high
R05807			uncertainty is too high
R05808			uncertainty is too high
R05809			uncertainty is too high
R05810			uncertainty is too high
R05811			uncertainty is too high
R05812			uncertainty is too high
R05813			uncertainty is too high
R05814			uncertainty is too high
R05815			uncertainty is too high
R05816	-269.4	2.3	
R05817	30.9	138.4	
R05818	32.7	138.5	
R05819	31.5	123.6	
R05820			uncertainty is too high
R05821	-478.6	8.7	
R05822	-533.8	12.5	
R05823	33.8	7.2	
R05824			uncertainty is too high
R05825			uncertainty is too high
R05826			uncertainty is too high
R05827			uncertainty is too high
R05828			uncertainty is too high
R05829			uncertainty is too high
R05830			uncertainty is too high
R05831	19.7	2.7	
R05832	-409.5	65.9	
R05833	-355.1	40.3	
R05834			uncertainty is too high
R05835			uncertainty is too high
R05836			uncertainty is too high
R05837	1.3	8.3	
R05838	-230.0	10.6	
R05839	0.7	7.2	
R05840	554.0	11.3	
R05841	-23.0	33.2	
R05842	18.4	7.4	
R05843	-356.3	47.7	
R05844	54.2	51.1	
R05845			uncertainty is too high
R05846			uncertainty is too high
R05847			uncertainty is too high
R05848			uncertainty is too high
R05849			uncertainty is too high
R05850	-0.5	2.6	
R05852			uncertainty is too high
R05853			uncertainty is too high
R05854			uncertainty is too high
R05855			uncertainty is too high
R05856			uncertainty is too high
R05857			uncertainty is too high
R05858			uncertainty is too high
R05859			uncertainty is too high
R05860			uncertainty is too high
R05861	-95.7	8.6	
R05862	-85.7	12.7	
R05863	-92.6	12.2	
R05864	-0.6	5.9	
R05865	-42.7	9.2	
R05866			uncertainty is too high
R05867			uncertainty is too high
R05868			uncertainty is too high
R05869			uncertainty is too high
R05870			uncertainty is too high
R05871			uncertainty is too high
R05872			uncertainty is too high
R05873			uncertainty is too high
R05874			uncertainty is too high
R05875	21.1	5.9	
R05876			uncertainty is too high
R05877			uncertainty is too high
R05878			uncertainty is too high
R05879			uncertainty is too high
R05880			uncertainty is too high
R05881			uncertainty is too high
R05882			uncertainty is too high
R05884	-62.5	11.3	
R05885			uncertainty is too high
R05886			uncertainty is too high
R05887	-39.9	69.4	
R05888	89.0	104.1	
R05889	-39.9	69.4	
R05890	89.0	104.1	
R05891			uncertainty is too high
R05892			uncertainty is too high
R05893			uncertainty is too high
R05894			uncertainty is too high
R05895			uncertainty is too high
R05896			uncertainty is too high
R05897			uncertainty is too high
R05898	73.0	70.6	
R05899	-157.1	76.2	
R05900			uncertainty is too high
R06046			uncertainty is too high
R06047	-11.5	110.6	
R06048	-60.6	19.0	
R06054			uncertainty is too high
R06063	-126.7	32.3	
R06064	-126.7	32.3	
R06117	6.4	24.8	
R06119	-409.5	26.1	
R06120	-178.6	19.5	
R06124			uncertainty is too high
R06126	22.5	3.6	
R06131			uncertainty is too high
R06132			uncertainty is too high
R06133			uncertainty is too high
R06134			uncertainty is too high
R06137			uncertainty is too high
R06146			uncertainty is too high
R06154	-78.6	10.6	
R06166			uncertainty is too high
R06171	-2.4	4.3	
R06178	-70.9	118.4	
R06180	29.1	6.6	
R06194			uncertainty is too high
R06195			uncertainty is too high
R06196			uncertainty is too high
R06223	-160.1	43.1	
R06254	-659.4	97.4	
R06255	-666.6	55.5	
R06256	-0.7	81.3	
R06257	305.6	62.1	
R06265			uncertainty is too high
R06266			uncertainty is too high
R06267			uncertainty is too high
R06268			uncertainty is too high
R06269			uncertainty is too high
R06270			uncertainty is too high
R06271			uncertainty is too high
R06272			uncertainty is too high
R06282			uncertainty is too high
R06284			uncertainty is too high
R06286			uncertainty is too high
R06287			uncertainty is too high
R06288			uncertainty is too high
R06291			uncertainty is too high
R06292			uncertainty is too high
R06293			uncertainty is too high
R06294			uncertainty is too high
R06295			uncertainty is too high
R06296			uncertainty is too high
R06297			uncertainty is too high
R06298			uncertainty is too high
R06299			uncertainty is too high
R06300			uncertainty is too high
R06301			uncertainty is too high
R06302			uncertainty is too high
R06303			uncertainty is too high
R06304			uncertainty is too high
R06305			uncertainty is too high
R06306			uncertainty is too high
R06307			uncertainty is too high
R06308			uncertainty is too high
R06309			uncertainty is too high
R06310			uncertainty is too high
R06311			uncertainty is too high
R06312			uncertainty is too high
R06313			uncertainty is too high
R06314			uncertainty is too high
R06315			uncertainty is too high
R06316			uncertainty is too high
R06317			uncertainty is too high
R06318			uncertainty is too high
R06319			uncertainty is too high
R06320			uncertainty is too high
R06321	1564.7	40.7	
R06322			uncertainty is too high
R06323			uncertainty is too high
R06324			uncertainty is too high
R06325			uncertainty is too high
R06326			uncertainty is too high
R06327			uncertainty is too high
R06328			uncertainty is too high
R06329			uncertainty is too high
R06330			uncertainty is too high
R06331			uncertainty is too high
R06332			uncertainty is too high
R06333			uncertainty is too high
R06334			uncertainty is too high
R06335			uncertainty is too high
R06336			uncertainty is too high
R06337			uncertainty is too high
R06338			uncertainty is too high
R06339			uncertainty is too high
R06340			uncertainty is too high
R06341			uncertainty is too high
R06342			uncertainty is too high
R06343			uncertainty is too high
R06344			uncertainty is too high
R06345			uncertainty is too high
R06346			uncertainty is too high
R06347			uncertainty is too high
R06348			uncertainty is too high
R06349			uncertainty is too high
R06350			uncertainty is too high
R06351			uncertainty is too high
R06352			uncertainty is too high
R06353			uncertainty is too high
R06354			uncertainty is too high
R06355			uncertainty is too high
R06356			uncertainty is too high
R06357			uncertainty is too high
R06358			uncertainty is too high
R06359			uncertainty is too high
R06361			uncertainty is too high
R06363			uncertainty is too high
R06364			uncertainty is too high
R06365			uncertainty is too high
R06366	-36.9	25.5	
R06367	-159.1	25.4	
R06368	-167.1	25.5	
R06369	84.7	44.4	
R06370			uncertainty is too high
R06371	-13.7	39.4	
R06372			uncertainty is too high
R06373			uncertainty is too high
R06374	-57.8	24.7	
R06375	-57.8	24.7	
R06376	6.4	32.3	
R06377	6.4	32.3	
R06378	6.4	32.3	
R06379	6.4	32.3	
R06380	0.0	32.7	
R06381	0.0	32.7	
R06382	6.4	32.3	
R06383	6.4	32.3	
R06384	6.4	32.3	
R06385	6.4	32.3	
R06386	-360.7	23.5	
R06387	-360.7	23.5	
R06388	-360.7	23.5	
R06389	-360.7	23.5	
R06390	-46.5	14.1	
R06391	-41.7	14.2	
R06392	-46.5	14.1	
R06393	-41.7	14.2	
R06394	-43.5	11.4	
R06395	-43.5	11.4	
R06396	-159.1	12.7	
R06397	-1613.9	22.9	
R06398			uncertainty is too high
R06399	6.4	32.0	
R06400	-360.7	22.6	
R06401			uncertainty is too high
R06402			uncertainty is too high
R06403			uncertainty is too high
R06404			uncertainty is too high
R06405			uncertainty is too high
R06406			uncertainty is too high
R06407	-36.9	16.5	
R06408	-36.9	16.5	
R06409	-9.5	16.2	
R06410	-9.5	16.2	
R06411	3.3	38.1	
R06412	3.3	38.1	
R06413	19.1	37.8	
R06414	-25.2	38.2	
R06415	-24.9	34.3	
R06417	32.3	27.9	
R06418	-76.5	28.2	
R06419	14.8	28.0	
R06420	14.8	28.0	
R06421	1598.2	18.9	
R06422			uncertainty is too high
R06423	26.1	22.6	
R06424	-12.3	3.7	
R06426	26.1	24.5	
R06427			uncertainty is too high
R06428	-59.0	6.1	
R06429	-5.7	26.6	
R06430	-5.7	26.6	
R06432			uncertainty is too high
R06433	0.0	25.2	
R06434	-7.3	24.0	
R06435			uncertainty is too high
R06436	-7.3	24.7	
R06437	-12.3	3.7	
R06438	57.8	22.2	
R06439			uncertainty is too high
R06440	0.0	28.3	
R06441	59.4	26.6	
R06443			uncertainty is too high
R06445	170.3	24.2	
R06446	57.8	24.0	
R06447	-583.2	54.5	
R06448	-331.5	73.1	
R06449	-1231.2	65.0	
R06450	-17.5	69.2	
R06451	-21.9	71.1	
R06452	-14.5	78.3	
R06453	-231.5	62.0	
R06454			uncertainty is too high
R06455			uncertainty is too high
R06456			uncertainty is too high
R06457			uncertainty is too high
R06458	-225.8	52.3	
R06459	-249.5	62.1	
R06460	-17.4	56.9	
R06461	-17.8	63.6	
R06462	-398.4	49.9	
R06463	-410.6	49.9	
R06464	-410.6	57.1	
R06465			uncertainty is too high
R06466			uncertainty is too high
R06467			uncertainty is too high
R06468			uncertainty is too high
R06469			uncertainty is too high
R06470			uncertainty is too high
R06471			uncertainty is too high
R06472			uncertainty is too high
R06473			uncertainty is too high
R06474			uncertainty is too high
R06475			uncertainty is too high
R06476			uncertainty is too high
R06477			uncertainty is too high
R06478			uncertainty is too high
R06479			uncertainty is too high
R06480			uncertainty is too high
R06481			uncertainty is too high
R06482			uncertainty is too high
R06483			uncertainty is too high
R06484			uncertainty is too high
R06485			uncertainty is too high
R06486			uncertainty is too high
R06487			uncertainty is too high
R06488			uncertainty is too high
R06489			uncertainty is too high
R06490			uncertainty is too high
R06491			uncertainty is too high
R06492			uncertainty is too high
R06493			uncertainty is too high
R06494			uncertainty is too high
R06495			uncertainty is too high
R06496			uncertainty is too high
R06497			uncertainty is too high
R06498			uncertainty is too high
R06499			uncertainty is too high
R06500			uncertainty is too high
R06501			uncertainty is too high
R06502	-0.0	32.4	
R06503	-54.0	86.0	
R06504	-96.9	87.8	
R06505	-8.9	87.9	
R06506	-7.5	90.0	
R06510			uncertainty is too high
R06513	-46.2	5.9	
R06514	-12.3	3.7	
R06515	-167.1	12.7	
R06516	-0.0	21.9	
R06517			uncertainty is too high
R06518			uncertainty is too high
R06519			uncertainty is too high
R06520	-16.3	21.8	
R06521	-16.3	21.3	
R06522			uncertainty is too high
R06523			uncertainty is too high
R06525	-398.4	21.8	
R06526			uncertainty is too high
R06527			uncertainty is too high
R06528			uncertainty is too high
R06529			uncertainty is too high
R06530	-18.9	8.7	
R06531	4.8	5.7	
R06532	-52.4	53.8	
R06533	-52.4	61.9	
R06534			uncertainty is too high
R06535			uncertainty is too high
R06536			uncertainty is too high
R06537			uncertainty is too high
R06538			uncertainty is too high
R06539			uncertainty is too high
R06540	-506.0	47.2	
R06541			uncertainty is too high
R06542			uncertainty is too high
R06543			uncertainty is too high
R06544			uncertainty is too high
R06545			uncertainty is too high
R06546			uncertainty is too high
R06547			uncertainty is too high
R06548			uncertainty is too high
R06549			uncertainty is too high
R06550			uncertainty is too high
R06551			uncertainty is too high
R06553			uncertainty is too high
R06554			uncertainty is too high
R06556	-101.8	32.4	
R06557			uncertainty is too high
R06558			uncertainty is too high
R06559			uncertainty is too high
R06560			uncertainty is too high
R06561			uncertainty is too high
R06562			uncertainty is too high
R06563			uncertainty is too high
R06564			uncertainty is too high
R06565	134.7	56.9	
R06568	-125.8	44.5	
R06569	11.0	39.8	
R06570	-24.0	22.5	
R06571	-24.0	18.1	
R06572	-437.1	7.7	
R06573	-449.6	7.7	
R06574			uncertainty is too high
R06575			uncertainty is too high
R06576			uncertainty is too high
R06577			uncertainty is too high
R06578			uncertainty is too high
R06579	-204.2	15.6	
R06580	-204.2	14.4	
R06582	-443.3	33.5	
R06583	-9.5	22.5	
R06584	-204.2	38.4	
R06585			uncertainty is too high
R06586	288.8	20.4	
R06587	1825.3	11.5	
R06588	-882.1	6.5	
R06589	0.3	6.8	
R06590			uncertainty is too high
R06591			uncertainty is too high
R06592	-125.5	16.4	
R06593	-118.5	32.6	
R06594	8.6	4.4	
R06595	1.3	24.7	
R06597			uncertainty is too high
R06598			uncertainty is too high
R06599			uncertainty is too high
R06600			uncertainty is too high
R06601	-48.2	33.3	
R06602	-86.7	13.5	
R06603	-85.7	13.3	
R06604	-78.5	26.8	
R06605	-78.5	26.8	
R06606			uncertainty is too high
R06607			uncertainty is too high
R06610	-6.8	46.1	
R06611			uncertainty is too high
R06612			uncertainty is too high
R06613	-53.4	17.8	
R06614			uncertainty is too high
R06615	-52.4	45.9	
R06617			uncertainty is too high
R06618			uncertainty is too high
R06619			uncertainty is too high
R06620	-88.1	6.3	
R06621	6.4	29.5	
R06622	-360.7	19.5	
R06624	-401.8	35.2	
R06625	4567.1	30.6	
R06626	8.1	11.4	
R06627			uncertainty is too high
R06628	0.0	28.8	
R06629	-6.8	27.8	
R06630	58.3	27.8	
R06631	25.7	36.6	
R06632	-503.2	12.2	
R06633	-1.8	12.1	
R06634	6.0	25.2	
R06635			uncertainty is too high
R06637			uncertainty is too high
R06641			uncertainty is too high
R06642			uncertainty is too high
R06643			uncertainty is too high
R06644			uncertainty is too high
R06645			uncertainty is too high
R06650	-55.5	95.3	
R06651	89.2	85.1	
R06652	-157.4	82.6	
R06653	-157.4	88.0	
R06654	89.2	84.9	
R06655	-258.9	84.6	
R06656			uncertainty is too high
R06659	-14.4	108.1	
R06660	-14.4	111.1	
R06661			uncertainty is too high
R06662			uncertainty is too high
R06664			uncertainty is too high
R06665	-31.0	118.3	
R06666			uncertainty is too high
R06667			uncertainty is too high
R06668			uncertainty is too high
R06670	19.9	99.5	
R06671			uncertainty is too high
R06672			uncertainty is too high
R06673			uncertainty is too high
R06674			uncertainty is too high
R06675			uncertainty is too high
R06676	-82.9	90.9	
R06677	-5.8	109.7	
R06678	43.9	72.5	
R06679	-403.6	71.8	
R06680			uncertainty is too high
R06681	-82.9	90.8	
R06682	-5.8	109.7	
R06683	-443.4	112.7	
R06684	-17.3	116.8	
R06685	-4.6	116.1	
R06686	-12.4	115.9	
R06687			uncertainty is too high
R06688	-398.4	108.5	
R06689	-43.6	108.3	
R06690	-396.2	108.4	
R06691	-398.4	115.9	
R06692	-43.6	115.8	
R06693			uncertainty is too high
R06694	43.6	108.3	
R06695	81.8	97.7	
R06696	-402.4	96.3	
R06697	-44.0	122.7	
R06698	518.6	122.2	
R06699	-138.3	82.0	
R06700	-404.1	101.5	
R06701	90.7	98.1	
R06702	89.0	93.1	
R06703			uncertainty is too high
R06704	-691.6	85.5	
R06706	150.5	101.4	
R06707	375.3	100.5	
R06709	151.0	101.7	
R06710	375.9	100.8	
R06711	375.3	94.5	
R06712	-220.5	89.9	
R06713	150.5	95.5	
R06714			uncertainty is too high
R06715			uncertainty is too high
R06716			uncertainty is too high
R06717			uncertainty is too high
R06718			uncertainty is too high
R06719			uncertainty is too high
R06724			uncertainty is too high
R06725			uncertainty is too high
R06726			uncertainty is too high
R06727			uncertainty is too high
R06728			uncertainty is too high
R06729			uncertainty is too high
R06730			uncertainty is too high
R06731			uncertainty is too high
R06732			uncertainty is too high
R06733			uncertainty is too high
R06734			uncertainty is too high
R06735			uncertainty is too high
R06736			uncertainty is too high
R06737			uncertainty is too high
R06738			uncertainty is too high
R06740	-93.2	12.4	
R06741	203.3	25.1	
R06742			uncertainty is too high
R06743	293.8	39.8	
R06744	-230.1	7.6	
R06745			uncertainty is too high
R06746			uncertainty is too high
R06747			uncertainty is too high
R06748			uncertainty is too high
R06749			uncertainty is too high
R06750			uncertainty is too high
R06751			uncertainty is too high
R06752			uncertainty is too high
R06753			uncertainty is too high
R06754			uncertainty is too high
R06755			uncertainty is too high
R06756			uncertainty is too high
R06757	-130.5	11.4	
R06758	-446.9	18.8	
R06759	-488.9	18.0	
R06760			uncertainty is too high
