!!SBtab	SBtabVersion='0.9.1' TableID='Reaction' TableType='Reaction' TableName='transformed standard Gibbs free energies of reaction, dG0_prime' QuantityType='standard Gibbs free energy of reaction' Unit='kJ/mol' pH='7.0' Temperature='298.15' TemperatureUnit='kelvin' 'IonicStrength='0.1' IoniStrengthUnit='mM' UniqueKeys='False'			
!Identifiers:kegg.reaction	!Mean	   !Std	!Comment
R00488	-12.0	4.8	
R00489	-21.0	11.8	
R00490	13.9	0.9	
R00491	4.9	3.9	
R00493			uncertainty is too high
R00494	-3.1	5.2	
R00497	-25.2	15.8	
R00499	-29.0	18.9	
R00501	-16.9	5.0	
R00502	-2.9	3.6	
R00503	-10.0	4.4	
R00504			uncertainty is too high
R00505	4.6	3.6	
R00506	244.3	3.4	
R00507	-83.6	14.1	
R00508	-12.8	11.5	
R00509	-13.6	11.5	
R00510	-12.1	5.9	
R00511	-15.2	5.4	
R00512	-3.2	5.8	
R00513	-11.2	5.5	
R00514	-23.2	5.8	
R00515	-33.3	4.6	
R00516	-8.9	6.0	
R00517	-8.7	6.0	
R00518	-10.9	11.5	
R00519	-14.1	6.5	
R00521	-10.5	11.5	
R00522	-17.5	8.6	
R00524	-31.7	12.2	
R00525	-33.0	11.0	
R00526	-31.2	11.2	
R00527	-11.2	20.4	
R00528			uncertainty is too high
R00529	47.4	2.3	
R00530	58.0	2.3	
R00531	-81.9	2.5	
R00532			uncertainty is too high
R00533	-171.9	11.0	
R00534			uncertainty is too high
R00535			uncertainty is too high
R00536			uncertainty is too high
R00537			uncertainty is too high
R00538			uncertainty is too high
R00539			uncertainty is too high
R00540			uncertainty is too high
R00542			uncertainty is too high
R00543			uncertainty is too high
R00544			uncertainty is too high
R00545			uncertainty is too high
R00546			uncertainty is too high
R00547			uncertainty is too high
R00548	-28.0	11.7	
R00549	1.6	33.9	
R00550	11.4	33.9	
R00551	-28.7	12.5	
R00552	-34.7	6.7	
R00554	6.3	1.1	
R00555			uncertainty is too high
R00557	-1261.0	30.0	
R00558			uncertainty is too high
R00559	-458.2	13.5	
R00562	32.7	5.8	
R00563	23.5	18.7	
R00565	-0.3	5.8	
R00566	-13.9	11.9	
R00567	8.4	10.1	
R00568	-24.9	4.8	
R00569	-25.9	4.6	
R00570	-0.5	4.6	
R00571	-1.5	4.8	
R00572	28.2	4.7	
R00573	-13.0	5.1	
R00574	4.6	5.7	
R00575	-6.5	5.2	
R00576	-11.5	4.4	
R00577			uncertainty is too high
R00578	-29.5	7.2	
R00579	7.6	6.4	
R00581	41.7	1.6	
R00582	-10.4	0.5	
R00584	-5.4	0.7	
R00585	4.0	1.5	
R00586	-6.7	5.8	
R00588	-4.3	3.4	
R00589	-0.9	5.9	
R00590	-3.8	3.5	
R00594			uncertainty is too high
R00595			uncertainty is too high
R00596			uncertainty is too high
R00597			uncertainty is too high
R00598			uncertainty is too high
R00599			uncertainty is too high
R00600			uncertainty is too high
R00601			uncertainty is too high
R00602	-292.3	9.2	
R00603			uncertainty is too high
R00604	-43.0	3.9	
R00605	34.2	6.5	
R00606			uncertainty is too high
R00608	-99.2	10.4	
R00609			uncertainty is too high
R00610	-76.8	11.4	
R00611			uncertainty is too high
R00612	-69.1	15.5	
R00614	-77.2	8.4	
R00615			uncertainty is too high
R00616			uncertainty is too high
R00617	-3.3	3.5	
R00618			uncertainty is too high
R00619			uncertainty is too high
R00621			uncertainty is too high
R00623			uncertainty is too high
R00624			uncertainty is too high
R00625			uncertainty is too high
R00626			uncertainty is too high
R00627			uncertainty is too high
R00628			uncertainty is too high
R00629			uncertainty is too high
R00630			uncertainty is too high
R00631			uncertainty is too high
R00634			uncertainty is too high
R00635			uncertainty is too high
R00636			uncertainty is too high
R00637			uncertainty is too high
R00638			uncertainty is too high
R00639			uncertainty is too high
R00640			uncertainty is too high
R00643			uncertainty is too high
R00644			uncertainty is too high
R00645			uncertainty is too high
R00646			uncertainty is too high
R00647			uncertainty is too high
R00648	-105.5	9.1	
R00649			uncertainty is too high
R00650			uncertainty is too high
R00651	-57.0	14.3	
R00652	-18.1	4.8	
R00653	-24.9	18.6	
R00654	-9.9	8.9	
R00655	-2.6	2.4	
R00656	-23.8	6.6	
R00657			uncertainty is too high
R00658	-4.1	0.6	
R00659	30.0	2.7	
R00660	-12.4	7.3	
R00661	14.9	5.8	
R00662	-29.5	7.6	
R00664	-74.7	51.5	
R00665	-23.9	9.8	
R00666	57.2	13.5	
R00667	-19.8	8.7	
R00668	-13.8	11.4	
R00669	0.5	6.7	
R00670	-43.2	10.6	
R00671	-22.4	8.2	
R00672	-21.7	9.5	
R00673	21.1	1.3	
R00674	-49.8	2.2	
R00675	1.1	10.0	
R00676	2.1	10.0	
R00677	-132.4	12.9	
R00678	-339.0	12.7	
R00679	-478.8	13.1	
R00681	-391.6	12.7	
R00682	1.1	10.7	
R00683			uncertainty is too high
R00684	-36.9	10.0	
R00685	-33.3	11.3	
R00686	-42.7	7.9	
R00687			uncertainty is too high
R00688	37.5	4.1	
R00689	-96.0	9.3	
R00690	-474.9	11.8	
R00691	-75.8	21.5	
R00692	-0.3	4.2	
R00693	-30.1	8.5	
R00694	-0.5	4.1	
R00695	3.4	4.2	
R00697	-3.3	1.1	
R00698	-317.3	11.7	
R00699	-29.4	9.9	
R00700	-34.6	5.9	
R00702	-146.0	44.5	
R00703	27.5	0.9	
R00704	24.4	4.1	
R00705	-24.6	10.4	
R00706	-23.6	10.4	
R00707	-54.1	10.6	
R00708	-53.1	10.6	
R00709	5.4	6.3	
R00710	-47.0	2.6	
R00711	-46.0	2.6	
R00713	-32.9	4.7	
R00714	-31.9	4.7	
R00715	38.1	5.8	
R00716	39.1	5.8	
R00717	44.6	1.7	
R00719	-30.1	2.9	
R00720	-8.2	5.8	
R00722	3.7	2.9	
R00723	-70.2	17.7	
R00724	24.0	2.9	
R00725	-21.0	3.0	
R00726	6.6	6.7	
R00727	-5.6	3.9	
R00728	-26.7	8.6	
R00729	-95.5	9.3	
R00730			uncertainty is too high
R00731	-427.1	11.8	
R00732	-17.6	21.5	
R00733	-16.6	21.5	
R00734	0.0	4.1	
R00735	-77.1	13.3	
R00736	-70.0	10.0	
R00737	-38.3	8.6	
R00739	-48.9	7.9	
R00740	-5.8	8.9	
R00742	-3.7	3.0	
R00743	-8.6	4.6	
R00744	40.7	2.2	
R00746	22.7	0.9	
